序号	标段名称	展厅名称	展区名称	展项名称	是否为核心展品	展项编号	展项设备											
							是否通电	电脑	投影		展示屏/电视机	安卓平板	"PLC、
嵌入式板卡"		无软件的按钮	展项电压（V）	展项用电功率（KW）	智能中控终端
								数量	投影数量	"控制代码
（开、关、状态查询）"	电视机数量	数量	数量	预留中控接口	数量			数量
1	标段1	天地探秘	蔚蓝星球	地球的诞生	是	ZP_1_001	是	1	0	无	无	无	无		无	220V	5KW	1
2	标段1	天地探秘	蔚蓝星球	地球的演化	否	ZP_1_002	是	1	0	无	无	无	1		无	220V	4KW	1
3	标段1	天地探秘	蔚蓝星球	奇妙的大气层	否	ZP_1_003	是	1	1	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	1		无	220V	3KW	1
4	标段1	天地探秘	蔚蓝星球	大气环流	否	ZP_1_004	是	2	0	无	无	无	1		无	220V	4KW	1
5	标段1	天地探秘	蔚蓝星球	岩石的形成及种类	否	ZP_1_005	是	1	0	无	3	无	无		无	220V	2KW	1
6	标段1	天地探秘	蔚蓝星球	探索安徽矿产资源	否	ZP_1_006	是	1	0	无	无	无	1		无	220V	1KW	1
7	标段1	天地探秘	蔚蓝星球	“地壳一号”科学钻探	否	ZP_1_007	是	1	0	无	无	无	1		1	220V	4KW	1
8	标段1	天地探秘	蔚蓝星球	地震波探测	否	ZP_1_008	是	1	0	无	无	无	1		无	220V	4KW	1
9	标段1	天地探秘	蔚蓝星球	广域电磁法探测	否	ZP_1_009	是	1	0	无	无	无	1		无	220V	4KW	1
10	标段1	天地探秘	蔚蓝星球	地球的水（水的三态）	否	ZP_1_010	是	0	0	无	无	无	1		4	220V	3KW	1
11	标段1	天地探秘	蔚蓝星球	多彩的海洋	否	ZP_1_011	是	4	0	无	无	无	无		无	220V	5KW	2
12	标段1	天地探秘	蔚蓝星球	向深海潜行	否	ZP_1_012	是	1	0	无	1	无	1		无	220V	2KW	1
13	标段1	天地探秘	蔚蓝星球	海底一万米	否	ZP_1_013	是	0	0	无	无	无	无		无	220V	3KW	
14	标段1	天地探秘	蔚蓝星球	地球的外部圈层	否	ZP_1_014	是	1	6	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	1		无	220V	3.5KW	1
15	标段1	天地探秘	蔚蓝星球	地球的内部结构	是	ZP_1_015	是	1	0	无	1	无	1		无	220V	3KW	1
16	标段1	天地探秘	蔚蓝星球	地球的自转与公转	否	ZP_1_016	是	2	3	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	1		无	220V	5KW	1
17	标段1	天地探秘	蔚蓝星球	地球的卫士	否	ZP_1_017	是	1	1	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	1		无	220V	1KW	1
18	标段1	天地探秘	蔚蓝星球	地磁的守护	否	ZP_1_018	是	1	0	无	无	无	1		无	220V	3KW	1
19	标段1	天地探秘	蔚蓝星球	寻找宜居带	否	ZP_1_019	是	1	0	无	无	无	1		无	220V	3KW	1
20	标段1	天地探秘	蔚蓝星球	类地行星	否	ZP_1_020	是	0	0	无	无	无	无		无	220V	2KW	
21	标段1	天地探秘	蔚蓝星球	生命的诞生	否	ZP_1_021	是	4	0	无	无	无	无		无	220V	3KW	2
22	标段1	天地探秘	蔚蓝星球	米勒模拟实验	否	ZP_1_022	是	1	0	无	3	无	1		无	220V	2.5KW	1
23	标段1	天地探秘	蔚蓝星球	生命的进化	是	ZP_1_023	是	2	6	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	无		无	220V	4.6KW	1
24	标段1	天地探秘	蔚蓝星球	对地球的疑问	否	ZP_1_024	是	0	0	无	无	无	无		无	220V	3KW	
25	标段1	天地探秘	遥望星辰	星空的神话	否	ZP_1_025	是	1	无	无	3	无	无		无	220V	1KW	1
26	标段1	天地探秘	遥望星辰	古老的星图	否	ZP_1_026	是	4	无	无	无	无	无		无	220V	1.5KW	2
27	标段1	天地探秘	遥望星辰	人类的千里眼	否	ZP_1_027	是	无	无	无	无	无	无		无	220V	0.8W	
28	标段1	天地探秘	遥望星辰	望向宇宙深处	是	ZP_1_028	是	1	1	开机：02 00 00 00 00 02   关机：02 01 00 00 00 03   	无	无	无		无	220V	2KW	1
29	标段1	天地探秘	遥望星辰	太阳及太阳系的形成	是	ZP_1_029	是	1	无	无	1	无	1		无	220V	6KW	1
30	标段1	天地探秘	遥望星辰	太阳作为恒星的一生（赫罗图）	否	ZP_1_030	是	1	无	无	1	无	1		无	220V	0.8KW	1
31	标段1	天地探秘	遥望星辰	太阳的核聚变	否	ZP_1_031	是	1	无	无	1	无	1		无	220V	0.8KW	1
32	标段1	天地探秘	遥望星辰	太阳的活动	否	ZP_1_032	是	无	无	无	无	无	无		无	220V	0.5KW	
33	标段1	天地探秘	遥望星辰	八大行星	否	ZP_1_033	是	无	无	无	无	无	无		无	220V	5KW	
34	标段1	天地探秘	遥望星辰	小行星带	否	ZP_1_034	是	无	无	无	无	无	无		无	220V	1KW	
35	标段1	天地探秘	遥望星辰	认识行星（VR望远镜）	否	ZP_1_035	是	1	无	无	1	无	1		无	220V	0.8W	1
36	标段1	天地探秘	遥望星辰	寻找生命的星球（VR望远镜）	否	ZP_1_036	是	1	无	无	1	无	1		无	220V	0.8KW	1
37	标段1	天地探秘	遥望星辰	寻找危险的小天体（VR望远镜）	否	ZP_1_037	是	2	无	无	2	无	无		无	220V	1KW	1
38	标段1	天地探秘	遥望星辰	行星称重	否	ZP_1_038	是	2	无	无	2	无	无		无	220V	1.2KW	1
39	标段1	天地探秘	遥望星辰	星系的分类	否	ZP_1_039	是	1	无	无	1	无	1		无	220V	1.5KW	1
